coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
654617,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051478.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051478.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051478_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051478.jpg,,Arizona State University Vascular Plant Herbarium (ASU-Plants),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:55a6cb14-721b-4ed2-8c19-b5e8bd1613d7,2011-11-09 23:57:12,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=654617,StillImage,Photograph,en
693672,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051477.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051477.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051477_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051477.jpg,,Arizona State University Vascular Plant Herbarium (ASU-Plants),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:768c2b2f-c454-4312-ae84-5df43e489d75,2011-11-09 23:57:12,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=693672,StillImage,Photograph,en
724153,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051710.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051710.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051710_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051710.jpg,,Arizona State University Vascular Plant Herbarium (ASU-Plants),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:1bd8121a-07bf-451a-8d6d-1b14f4d90bc0,2011-11-09 23:57:49,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=724153,StillImage,Photograph,en
1101015,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00055/DES00055119_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00055/DES00055119_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00055/DES00055119_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00055/DES00055119.jpg,,Desert Botanical Garden Herbarium (DES),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:ae72b62c-f4bd-42d0-b75a-f4be747ae521,2013-09-04 15:17:27,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=1101015,StillImage,Photograph,en
1101016,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00000/DES00000228_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00000/DES00000228_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00000/DES00000228_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00000/DES00000228.jpg,,Desert Botanical Garden Herbarium (DES),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:5181c9e4-59a7-4e59-b3d7-f8249f35f1a4,2013-09-04 15:11:21,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=1101016,StillImage,Photograph,en
1101017,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00063/DES00063121_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00063/DES00063121_lg.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00063/DES00063121_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00063/DES00063121.jpg,,Desert Botanical Garden Herbarium (DES),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:a4083229-d227-495e-87e7-58728040f2c6,2013-09-04 15:18:13,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=1101017,StillImage,Photograph,en
724711,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051434.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051434.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051434_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051434.jpg,,Arizona State University Vascular Plant Herbarium (ASU-Plants),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:eac60e23-849f-47c9-b330-6fdcdf7f87d1,2011-11-09 23:57:04,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=724711,StillImage,Photograph,en
657965,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/Cactaceae/herbarium_sheets/OPMI_222224_M.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/Cactaceae/herbarium_sheets/OPMI_222224_M.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/Cactaceae/herbarium_sheets/OPMI_222224_M_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/Cactaceae/herbarium_sheets/OPMI_222224_M.jpg,,Arizona State University Vascular Plant Herbarium (ASU-Plants),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d7bf1f03-9bf4-4543-99d5-92ca13c7c5ec,2009-11-22 13:44:03,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=657965,StillImage,Photograph,en
771122,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051364.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051364.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051364_tn.jpg,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0051/ASU0051364.jpg,,Arizona State University Vascular Plant Herbarium (ASU-Plants),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:ce8b7a5f-2746-4ce6-88de-6a0f3e58380c,2011-11-09 23:56:50,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=771122,StillImage,Photograph,en
891689,http://db.herbarium.arizona.edu/images/ARIZ/377/ariz377920_lg.jpg,http://db.herbarium.arizona.edu/images/ARIZ/377/ariz377920_lg.jpg,http://db.herbarium.arizona.edu/images/ARIZ/377/ariz377920_tn.jpg,http://db.herbarium.arizona.edu/images/ARIZ/377/ariz377920.jpg,,University of Arizona Herbarium (ARIZ),CC BY-NC (Attribution-Non-Commercial),http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:fdca5281-3dd7-4bb8-9986-01fc97ebafb7,2014-12-23 15:15:40,image/jpeg,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=891689,StillImage,Photograph,en
